VaR,Loss
-433.047,37.800
-432.920,327.800
-432.924,282.800
-432.895,162.800
-432.818,352.800
-433.578,232.800
-433.833,195.300
-433.815,185.300
-433.972,184.700
-433.978,399.700
-433.825,501.950
-434.020,431.700
-434.031,-1698.500
-432.779,-3912.200
-430.152,-3837.200
-430.964,-3894.700
-430.904,-4019.700
-430.683,-3964.700
-430.647,-3890.700
-430.607,-3831.000
-430.599,-3788.500
-430.562,-3838.400
-430.528,-3878.400
-430.551,-4193.400
-430.481,-4267.300
-432.345,-4292.300
-432.567,-4242.300
-432.545,-4257.300
-432.581,-3741.300
-432.236,-3776.300
-432.434,-3706.300
-432.740,-3581.300
-432.775,-3526.300
-433.087,-3566.300
-433.064,-3791.300
-432.929,-3741.300
-434.380,-3986.300
-434.092,-3856.300
-435.504,-4081.300
-435.239,-4101.300
-435.234,-4155.800
-435.246,-4080.800
-435.377,-4025.800
-435.373,-3980.800
-435.687,-3930.800
-435.689,-3940.800
-435.650,-3835.800
-435.520,-3843.300
-435.517,-3571.600
-472.776,-3296.800
-552.833,-3225.800
-568.838,-2733.300
-1355.838,-2668.300
-1390.878,-2618.300
-1385.879,-2573.300
-1330.919,-2205.800
-1521.371,-2165.800
-1533.876,-2075.750
-1543.927,-2015.650
-1584.041,-1920.650
-1699.300,-1744.250
-1804.387,-1668.750
-1804.637,1181.150
-2798.158,3453.700
-3600.182,3258.700
-3700.244,3318.700
-3730.277,3408.700
-3765.312,3413.700
-3785.324,3409.200
-3795.326,3472.300
-3863.199,3457.300
-3875.706,3507.250
-3900.723,3579.650
-3908.124,4174.300
-4474.086,4150.450
-4727.494,3860.450
-4253.343,3827.950
-4258.344,3831.550
-4234.474,3623.550
-4349.511,3773.550
-4399.549,3928.550
-4489.691,4008.550
-4549.713,4056.050
-4544.714,4126.050
-4584.773,4366.050
-4619.794,4570.700
-4654.467,4800.700
-4704.498,4305.700
-4510.020,4505.700
-4525.024,4548.200
-4557.549,4538.200
-4557.555,4535.700
-4557.590,4565.700
-4557.588,4398.200
-4557.400,4330.700
-4557.381,4340.700
-4557.416,4345.700
-4557.504,4510.700
-4557.440,4115.850
-4557.171,4040.850
-4557.178,3953.850
-4557.134,2978.850
-4556.167,2938.850
-4556.155,3128.850
-4556.135,3308.850
-4555.954,3103.850
-4555.882,3101.350
-4555.890,3168.750
-4555.912,3183.550
-4555.949,3128.550
-4556.220,3098.550
-4556.344,3133.300
