VaR,Loss
-335.386,694.800
-263.088,812.300
-385.808,1134.800
-488.375,1229.400
-524.383,1421.400
-660.254,1626.400
-695.265,1651.400
-710.269,2716.400
-1251.177,2751.400
-164.958,2824.700
-1279.689,2804.700
-1339.737,2802.900
-1335.088,2787.900
-1300.126,2675.400
-1185.321,2680.400
-1160.327,2500.400
-1020.722,2240.400
-826.013,2150.400
-766.063,159.550
-423.508,-1947.950
-161.195,-1848.900
-161.067,-1783.900
-161.018,-1693.900
-160.908,-1813.900
-160.749,-1828.900
-160.748,-1728.900
-160.546,-1723.900
-160.644,-1568.500
-160.561,206.500
-1057.739,612.500
-1313.832,202.500
-1148.936,227.500
-1138.938,-280.000
-799.272,-90.000
-854.318,-95.000
-869.322,275.000
-1024.467,343.750
-1018.218,354.050
-1030.724,394.050
-970.782,451.550
-960.784,656.550
-885.850,780.450
-959.819,835.450
-88.130,825.450
-83.130,730.950
-959.774,697.350
-960.010,799.300
-959.984,699.300
-960.097,819.000
-960.029,716.500
-960.101,601.500
-960.085,525.500
-960.068,644.850
-960.334,719.850
-960.402,714.850
-960.408,184.850
-960.442,184.850
-970.445,209.300
-970.486,164.300
-970.510,276.950
-970.498,509.450
-970.099,409.450
-970.150,611.950
-969.797,544.450
-970.580,684.450
-970.445,314.900
-971.045,189.900
-971.942,185.900
-971.978,130.900
-971.953,90.900
-972.000,103.400
-972.069,93.400
-972.078,5.900
-971.939,35.900
-971.961,-274.100
-971.681,-1934.100
-966.408,-2170.700
-966.495,-2205.700
-966.518,-2195.700
-956.523,-1800.700
-956.415,-1850.700
-956.423,-1835.700
-956.440,-1840.700
-956.720,-1683.200
-956.677,-1705.700
-956.668,-1455.700
-956.298,-1420.700
-956.289,-1000.700
-955.687,-981.000
-955.862,-924.750
-947.113,-909.750
-957.116,-751.850
-957.640,-890.550
-957.560,-960.550
-957.556,-1063.050
-957.313,-1210.400
-957.456,-1195.400
-957.582,-1192.900
-957.569,-1313.650
-957.502,-1706.900
-957.358,-1806.900
-957.364,-1846.900
-957.347,-1806.950
-957.515,-1849.450
-957.494,-2012.350
-957.408,-1997.350
-957.457,-2105.850
-957.457,-2045.850
-957.402,-2150.850
-957.360,-2035.850
-957.364,-2110.850
-957.434,-1775.850
-957.218,-1915.850
-957.319,-2398.600
-958.326,-2726.100
-959.657,-2803.600
-837.251,-2833.950
-837.233,-2828.950
-837.221,-2863.950
-837.159,-2853.950
-837.207,-2858.950
-837.217,-2858.950
-837.079,-2868.950
-837.122,-2593.950
-837.192,-2008.950
-836.629,-2211.750
-835.776,-1614.250
-835.232,-1579.250
-835.237,-1446.750
-834.869,-1376.750
-834.996,-1439.250
-834.979,-1644.250
-834.876,-1855.400
-834.893,-1887.900
-834.854,-2052.900
-834.805,-2152.900
-834.834,-2832.900
-835.418,-3001.500
-835.278,-2954.000
-835.266,-2999.000
-835.250,-3224.800
-834.960,-3184.800
-834.972,-3179.800
-834.966,-3149.800
-834.827,-3159.800
-834.917,-3159.800
-834.904,-3033.300
-834.890,-2993.550
-834.787,-3081.050
-834.739,-3106.050
-834.708,-3785.800
-832.590,-3735.800
-832.601,-3654.350
-832.579,-3759.350
-832.457,-3773.850
-832.459,-3793.850
-832.448,-3828.850
-832.524,-3783.850
-832.510,-3781.350
-832.286,-3716.350
-832.278,-3188.600
-832.840,-2971.750
-833.883,-2966.750
-834.063,-2972.200
-834.036,-3037.200
-833.864,-3072.200
-833.693,-3019.700
-833.629,-2967.200
-833.619,-2942.200
-833.607,-3097.200
-833.480,-2892.200
-834.567,-2709.100
-834.563,-3009.100
-834.396,-3019.100
-834.406,-3234.100
-834.460,-3319.100
-834.443,-3324.100
-834.423,-3339.100
-834.292,-3270.600
-834.290,-3225.600
-834.292,-3270.600
-834.331,-3185.600
-834.327,-2610.600
-833.909,-2518.100
-833.941,-2521.850
-833.930,-2511.850
-833.919,-2486.450
-833.721,-2424.150
-833.874,-2474.150
-833.883,-2419.150
-833.935,-2509.150
-833.701,-2529.150
-833.662,-2794.900
-833.537,-3085.100
-833.131,-3010.100
-833.130,-2895.100
-833.164,-1967.950
-834.164,-1965.450
-834.177,-1949.150
-834.168,-1749.150
-834.371,-1794.150
-834.377,-1794.150
-834.367,-1831.650
-834.571,-1878.050
-834.575,-1870.550
-834.604,-1940.550
-834.589,-2000.550
-834.682,-2866.050
-835.973,-3704.750
-838.127,-3722.250
-838.333,-3756.350
-838.248,-3716.350
-838.201,-3786.350
-838.218,-3766.350
-838.306,-3771.350
-838.361,-3681.350
-838.349,-4166.350
-835.531,-4244.750
-835.163,-4417.250
-835.214,-4372.250
-835.201,-4347.250
-835.185,-4529.750
-835.598,-4444.750
-835.725,-4422.250
-835.717,-4462.250
-835.511,-4460.850
